make,model,km_driven,ownership,transmission,engine,fuel,city,reg_year_int,car_age,price
Volkswagen,Polo 1.2 MPI Highline,72000.0,First Owner,Manual,1198.0,Petrol,Hyderabad,2014.0,11.0,395000.0
Skoda,Slavia 1.0 TSI Ambition AT,12000.0,First Owner,Automatic,999.0,Petrol,Ahmedabad,2024.0,1.0,1250000.0
Skoda,Superb Elegance 1.8 TSI AT,56000.0,Second Owner,Automatic,1798.0,Petrol,Kolkata,2015.0,10.0,535000.0
Mahindra,XUV700 AX7L 7Str Diesel AT,5623.0,First Owner,Automatic,2198.0,Diesel,Mumbai,2023.0,2.0,2500000.0
Skoda,Laura 1.8 TSI Ambiente,104587.0,First Owner,Manual,1798.0,Petrol,Bangalore,2010.0,15.0,469000.0
Mahindra,Bolero Power Plus ZLX,80915.0,First Owner,Manual,1493.0,Diesel,Chennai,2020.0,5.0,764000.0
Maruti,Swift Dzire ZXi,120000.0,First Owner,Manual,1298.0,Petrol,Noida,2011.0,14.0,170000.0
Tata,Nexon XZ Plus LUXS Kaziranga,9946.0,First Owner,Manual,1199.0,Petrol,Hyderabad,2024.0,1.0,1132000.0
Volkswagen,Vento Konekt Petrol Highline,30000.0,Second Owner,Manual,1598.0,Petrol,Chandigarh,2013.0,12.0,449000.0
Renault,Kiger RXT Turbo,26141.0,Second Owner,Manual,999.0,Petrol,Pune,2021.0,4.0,626000.0
Tata,Tigor 1.2 Revotron XZ,25659.0,First Owner,Manual,1199.0,Petrol,Kolkata,2021.0,4.0,567000.0
Hyundai,Venue S BSIV,80000.0,First Owner,Manual,1197.0,Petrol,Noida,2019.0,6.0,625000.0
Toyota,Urban cruiser Premium,56820.0,First Owner,Manual,1462.0,Petrol,Hyderabad,2022.0,3.0,836000.0
Hyundai,i20 N-Line N6 iMT Dual Tone BSVI,34000.0,First Owner,Manual,998.0,Petrol,Hyderabad,2023.0,2.0,820000.0
Tata,Safari Storme VX,100000.0,First Owner,Manual,2179.0,Diesel,Chandigarh,2016.0,9.0,635000.0
Honda,WR-V i-VTEC VX,25850.0,Second Owner,Manual,1199.0,Petrol,Pune,2022.0,3.0,768000.0
Volkswagen,Vento Diesel Highline,80144.0,First Owner,Manual,1598.0,Diesel,Jaipur,2018.0,7.0,697000.0
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,24000.0,First Owner,Manual,1197.0,Petrol,Hyderabad,2021.0,4.0,621000.0
Hyundai,i20 Asta Opt BSVI,22000.0,First Owner,Manual,1197.0,Petrol,Bangalore,2022.0,3.0,900000.0
Kia,Seltos HTX IVT,47500.0,First Owner,Automatic,1497.0,Petrol,Chennai,2023.0,2.0,1375000.0
Volkswagen,Ameo 1.2 MPI Comfortline,79000.0,First Owner,Manual,1198.0,Petrol,Jaipur,2016.0,9.0,550000.0
Mahindra,Thar LX 4WD Hard Top BSVI,28000.0,First Owner,Manual,1997.0,Petrol,Kolkata,2022.0,3.0,1275000.0
Mahindra,XUV300 W6 Diesel Sunroof BSVI,43222.0,Second Owner,Manual,1497.0,Diesel,Ahmedabad,2022.0,3.0,800000.0
Maruti,Baleno 1.3 Zeta,100000.0,First Owner,Manual,1248.0,Diesel,Chandigarh,2018.0,7.0,490000.0
Honda,City i VTEC CVT SV,39000.0,First Owner,Automatic,1497.0,Petrol,Bangalore,2014.0,11.0,590000.0
Hyundai,i10 Magna 1.1L,53279.0,First Owner,Manual,1086.0,Petrol,Gurgaon,2014.0,11.0,230000.0
Renault,Kiger RXT Opt,50000.0,First Owner,Manual,999.0,Petrol,Chennai,2021.0,4.0,625000.0
Volkswagen,Virtus Highline AT,27093.0,First Owner,Automatic,999.0,Petrol,Gurgaon,2023.0,2.0,1044000.0
Maruti,Wagon R LXI CNG,46000.0,First Owner,Manual,998.0,CNG,Mumbai,2016.0,9.0,375000.0
Honda,Amaze VX CVT Petrol,47000.0,First Owner,Automatic,1199.0,Petrol,Chennai,2021.0,4.0,1050000.0
Skoda,Kushaq 1.0 TSI Active BSVI,50000.0,First Owner,Manual,999.0,Petrol,Chennai,2022.0,3.0,780000.0
Renault,Triber RXZ,21140.0,Second Owner,Manual,999.0,Petrol,Bangalore,2021.0,4.0,660000.0
Skoda,Kushaq 1.5 TSI Style BSVI,33000.0,First Owner,Manual,1498.0,Petrol,Kolkata,2021.0,4.0,1090000.0
Mahindra,XUV700 AX5 7 Str Diesel AT,60089.0,First Owner,Automatic,2198.0,Diesel,Ahmedabad,2023.0,2.0,1540000.0
Toyota,Fortuner 4x2 AT,80000.0,First Owner,Automatic,2982.0,Diesel,Ahmedabad,2015.0,10.0,1475000.0
Mahindra,XUV500 W8 2WD,184748.0,First Owner,Manual,2179.0,Diesel,Ahmedabad,2015.0,10.0,450000.0
Maruti,Celerio ZXI,24442.0,First Owner,Manual,998.0,Petrol,Jaipur,2022.0,3.0,529000.0
Skoda,Superb 2.8 V6 AT,141000.0,First Owner,Automatic,2771.0,Petrol,Gurgaon,2010.0,15.0,349000.0
Mahindra,Thar LX 4WD Hard Top AT BSVI,40000.0,First Owner,Automatic,1997.0,Petrol,Noida,2024.0,1.0,1099000.0
Kia,Sonet X-line Turbo DCT,8400.0,First Owner,Automatic,998.0,Petrol,Mumbai,2024.0,1.0,1545000.0
Kia,Seltos HTK Plus G,71000.0,First Owner,Manual,1497.0,Petrol,Ahmedabad,2020.0,5.0,990000.0
Tata,Harrier XT BSIV,154000.0,First Owner,Manual,1956.0,Diesel,Ahmedabad,2019.0,6.0,1100000.0
Kia,Sonet GTX Plus Turbo iMT BSVI,28338.0,First Owner,Manual,998.0,Petrol,Pune,2021.0,4.0,930000.0
Tata,Tiago XZ Plus,30000.0,First Owner,Manual,1199.0,Petrol,Hyderabad,2020.0,5.0,500000.0
Toyota,Yaris G Optional CVT,56000.0,First Owner,Automatic,1496.0,Petrol,Kolkata,2018.0,7.0,599000.0
Maruti,Baleno Zeta Diesel,21790.0,Second Owner,Manual,1248.0,Diesel,Gurgaon,2021.0,4.0,639000.0
Maruti,Baleno 1.2 Delta,39999.0,First Owner,Manual,1197.0,Petrol,Kolkata,2017.0,8.0,450000.0
Mahindra,XUV300 W8 BSVI,14287.0,First Owner,Manual,1197.0,Petrol,Jaipur,2022.0,3.0,905000.0
Renault,Triber RXZ,48050.0,First Owner,Manual,999.0,Petrol,Chennai,2020.0,5.0,541000.0
Mahindra,XUV500 AT W10 FWD,113700.0,First Owner,Automatic,2179.0,Diesel,Gurgaon,2017.0,8.0,845000.0
Honda,Jazz 1.2 V AT i VTEC,57512.0,First Owner,Automatic,1199.0,Petrol,Hyderabad,2015.0,10.0,690000.0
Hyundai,Creta 1.6 CRDi SX Option,81000.0,Second Owner,Manual,1582.0,Diesel,Noida,2018.0,7.0,795000.0
Maruti,Baleno Alpha Diesel,38189.0,Second Owner,Manual,1248.0,Diesel,Hyderabad,2018.0,7.0,617000.0
Skoda,Slavia 1.5 TSI Style BSVI,5273.0,First Owner,Manual,1498.0,Petrol,Chandigarh,2023.0,2.0,1280000.0
Maruti,Baleno 1.2 CVT Delta,52000.0,Second Owner,Automatic,1197.0,Petrol,Mumbai,2015.0,10.0,495000.0
Tata,Punch Accomplished,38798.0,First Owner,Manual,1199.0,Petrol,Gurgaon,2022.0,3.0,622000.0
Kia,Sonet HTK Plus BSVI,34000.0,First Owner,Manual,1197.0,Petrol,Ahmedabad,2021.0,4.0,799000.0
Maruti,Alto 800 VXI,13402.0,First Owner,Manual,796.0,Petrol,Ahmedabad,2022.0,3.0,386000.0
Toyota,Corolla AE,82000.0,Second Owner,Manual,1794.0,Petrol,Hyderabad,2008.0,17.0,210000.0
Volkswagen,Virtus Topline AT BSVI,13567.0,First Owner,Automatic,999.0,Petrol,Mumbai,2024.0,1.0,1525000.0
Tata,Altroz XT,31654.0,First Owner,Manual,1199.0,Petrol,Jaipur,2023.0,2.0,646000.0
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,10787.0,First Owner,Manual,1197.0,Petrol,Ahmedabad,2022.0,3.0,638000.0
Maruti,Wagon R VXI BS IV,48000.0,First Owner,Manual,998.0,Petrol,Noida,2011.0,14.0,175000.0
Volkswagen,Vento 1.2 TSI Highline AT,160000.0,First Owner,Automatic,1197.0,Petrol,Noida,2017.0,8.0,500000.0
Renault,KWID 1.0 RXT Opt,32548.0,First Owner,Manual,999.0,Petrol,Chandigarh,2021.0,4.0,380000.0
Skoda,Rapid 1.5 TDI Ambition Plus,35000.0,First Owner,Manual,1498.0,Diesel,Mumbai,2016.0,9.0,485000.0
Skoda,Rapid 1.5 TDI Elegance,103000.0,First Owner,Manual,1498.0,Diesel,Hyderabad,2015.0,10.0,515000.0
Hyundai,Venue SX Turbo iMT,29968.0,Second Owner,Manual,998.0,Petrol,New Delhi,2020.0,5.0,689000.0
Kia,Seltos GTX Plus,105635.0,First Owner,Manual,1353.0,Petrol,Pune,2021.0,4.0,1394000.0
Kia,Seltos GTX Plus Turbo DCT,10931.0,First Owner,Automatic,1482.0,Petrol,Ahmedabad,2023.0,2.0,1790000.0
Maruti,Swift VXI,29000.0,First Owner,Manual,1197.0,Petrol,New Delhi,2021.0,4.0,585000.0
Renault,Kiger RXZ,18500.0,Second Owner,Manual,999.0,Petrol,Kolkata,2021.0,4.0,545000.0
Mahindra,Thar LX 4WD Hard Top AT BSVI,39000.0,First Owner,Automatic,1997.0,Petrol,New Delhi,2023.0,2.0,1375000.0
Mahindra,XUV500 W4,100302.0,First Owner,Manual,2179.0,Diesel,Hyderabad,2016.0,9.0,730000.0
Hyundai,Grand i10 1.2 Kappa Magna BSIV,12728.0,Second Owner,Manual,1197.0,Petrol,Mumbai,2018.0,7.0,374000.0
Hyundai,Exter SX,17103.0,First Owner,Manual,1197.0,Petrol,New Delhi,2024.0,1.0,749000.0
Hyundai,Venue SX Plus Turbo DCT BSIV,20525.0,First Owner,Automatic,998.0,Petrol,Gurgaon,2019.0,6.0,820000.0
Hyundai,Verna 1.6 VTVT SX,30000.0,First Owner,Manual,1591.0,Petrol,Kolkata,2016.0,9.0,400000.0
Volkswagen,Polo 1.0 TSI Highline Plus,30000.0,First Owner,Manual,999.0,Petrol,Noida,2020.0,5.0,700000.0
Honda,Jazz 1.2 V AT i VTEC,55000.0,First Owner,Automatic,1199.0,Petrol,Noida,2016.0,9.0,450000.0
Renault,KWID RXT,105917.0,First Owner,Manual,799.0,Petrol,Ahmedabad,2016.0,9.0,180000.0
Toyota,Hyryder V HYBRID,7000.0,First Owner,Automatic,1490.0,Petrol,Chennai,2024.0,1.0,2125000.0
Maruti,Wagon R VXI 1.2,78062.0,First Owner,Manual,1197.0,Petrol,Bangalore,2013.0,12.0,307000.0
Renault,Kiger RXZ,34184.0,First Owner,Manual,999.0,Petrol,Gurgaon,2022.0,3.0,685000.0
Volkswagen,Polo 1.2 MPI Highline,58000.0,Third Owner,Manual,1199.0,Petrol,Pune,2016.0,9.0,399000.0
Renault,KWID RXT,48208.0,First Owner,Manual,799.0,Petrol,Ahmedabad,2018.0,7.0,286000.0
Renault,Triber RXT,73349.0,First Owner,Manual,999.0,Petrol,Gurgaon,2021.0,4.0,450000.0
Mahindra,XUV300 W8 AMT Optional Diesel BSVI,47333.0,First Owner,Automatic,1497.0,Diesel,Kolkata,2022.0,3.0,852000.0
Skoda,Slavia 1.5 TSI Style AT,19909.0,First Owner,Automatic,1498.0,Petrol,Gurgaon,2022.0,3.0,1475000.0
Renault,KWID RXT,42000.0,First Owner,Manual,799.0,Petrol,Thane,2017.0,8.0,275000.0
Tata,Nexon XZ Plus Dark Edition Diesel,19346.0,First Owner,Manual,1497.0,Diesel,Chandigarh,2023.0,2.0,874000.0
Maruti,Alto K10 VXi BSVI,10000.0,First Owner,Manual,998.0,Petrol,Mumbai,2024.0,1.0,485000.0
Honda,Jazz 1.2 VX i VTEC,37091.0,Third Owner,Manual,1199.0,Petrol,Chennai,2017.0,8.0,434000.0
Mahindra,Thar LX 4WD Hard Top AT BSVI,13225.0,Second Owner,Automatic,1997.0,Petrol,Mumbai,2023.0,2.0,1450000.0
Tata,Nexon XZA Plus (O) AMT Diesel,41184.0,First Owner,Automatic,1497.0,Diesel,Hyderabad,2021.0,4.0,1091000.0
Renault,KWID 1.0 RXT Optional,28772.0,First Owner,Manual,999.0,Petrol,Pune,2019.0,6.0,318000.0
Renault,Kiger RXZ Turbo CVT,21757.0,First Owner,Automatic,999.0,Petrol,Pune,2022.0,3.0,873000.0
Kia,Seltos HTK Plus D,43680.0,First Owner,Manual,1493.0,Diesel,Pune,2021.0,4.0,1325000.0
Volkswagen,Taigun 1.0 Topline,38010.0,First Owner,Manual,999.0,Petrol,Hyderabad,2021.0,4.0,1166000.0
Toyota,Vellfire Executive Lounge BSVI,61000.0,First Owner,Automatic,2494.0,Petrol,Jaipur,2021.0,4.0,8800000.0
Kia,Sonet HTX Turbo iMT,13119.0,First Owner,Automatic,998.0,Petrol,Hyderabad,2023.0,2.0,1081000.0
Hyundai,i20 Sportz 1.2,33542.0,First Owner,Manual,1197.0,Petrol,Jaipur,2017.0,8.0,515000.0
Renault,KWID RXL,44494.0,First Owner,Manual,799.0,Petrol,Bangalore,2020.0,5.0,351000.0
Renault,Kiger RXT Turbo,59194.0,First Owner,Manual,999.0,Petrol,Ahmedabad,2021.0,4.0,586000.0
Skoda,Octavia Rider 1.9 TDI MT,145000.0,First Owner,Manual,1896.0,Diesel,Pune,2007.0,18.0,230000.0
Skoda,Octavia 1.8 TSI AT L K,101182.0,First Owner,Automatic,1798.0,Petrol,Hyderabad,2019.0,6.0,1342000.0
Volkswagen,Polo GT TSI,38069.0,First Owner,Automatic,1197.0,Petrol,Bangalore,2018.0,7.0,985000.0
Maruti,Wagon R ZXI 1.2,37920.0,First Owner,Manual,1197.0,Petrol,Gurgaon,2022.0,3.0,517000.0
Mahindra,Scorpio N Z8L Diesel AT,10000.0,First Owner,Automatic,2198.0,Diesel,Chandigarh,2024.0,1.0,2100000.0
Kia,Seltos HTE Diesel,72000.0,First Owner,Manual,1493.0,Diesel,Jaipur,2021.0,4.0,1070000.0
Skoda,Rapid 1.6 MPI AT Style BSIV,104000.0,First Owner,Automatic,1598.0,Petrol,Noida,2017.0,8.0,545000.0
Volkswagen,Polo Petrol Highline 1.2L,72925.0,First Owner,Manual,1198.0,Petrol,Kolkata,2011.0,14.0,500000.0
Tata,Nexon XM S Diesel,24373.0,First Owner,Manual,1497.0,Diesel,Noida,2023.0,2.0,810000.0
Volkswagen,T-Roc TSI,75000.0,First Owner,Automatic,1498.0,Petrol,Pune,2021.0,4.0,1650000.0
Volkswagen,Polo Select 1.2 MPI Highline,63000.0,First Owner,Manual,1198.0,Petrol,Noida,2015.0,10.0,395000.0
Mahindra,KUV 100 mFALCON D75 K4,43002.0,First Owner,Manual,1198.0,Diesel,Kolkata,2016.0,9.0,265000.0
Toyota,Innova 2.5 G1 BSIV,180000.0,Second Owner,Manual,2494.0,Diesel,Hyderabad,2012.0,13.0,590000.0
Kia,Seltos GTX Plus,57250.0,First Owner,Manual,1353.0,Petrol,Gurgaon,2021.0,4.0,1388000.0
Maruti,Wagon R VXI BS IV,36152.0,First Owner,Manual,998.0,Petrol,Ghaziabad,2014.0,11.0,247000.0
Volkswagen,Polo 1.5 TDI Comfortline,51909.0,Second Owner,Manual,1498.0,Diesel,Chennai,2018.0,7.0,517000.0
Skoda,Slavia 1.0 TSI Ambition BSVI,43280.0,First Owner,Manual,999.0,Petrol,Bangalore,2022.0,3.0,1145000.0
Kia,Sonet HTX Turbo iMT BSVI,45000.0,First Owner,Manual,998.0,Petrol,New Delhi,2021.0,4.0,750000.0
Hyundai,Venue SX Turbo,18139.0,First Owner,Manual,998.0,Petrol,Kolkata,2020.0,5.0,778000.0
Toyota,Glanza S,27000.0,First Owner,Manual,1197.0,Petrol,Faridabad,2023.0,2.0,735000.0
Tata,Harrier XT plus 2020-2022,60000.0,First Owner,Manual,1956.0,Diesel,Noida,2021.0,4.0,1235000.0
Honda,City i VTEC VX,110000.0,First Owner,Manual,1497.0,Petrol,Pune,2017.0,8.0,750000.0
Tata,Nexon 1.5 Revotorq XZ Plus Dual Tone,24207.0,Second Owner,Manual,1497.0,Diesel,Kolkata,2021.0,4.0,600000.0
Hyundai,Grand i10 1.2 Kappa Magna BSIV,77646.0,First Owner,Manual,1197.0,Petrol,Pune,2018.0,7.0,450000.0
Toyota,Fortuner 2.8 4WD AT,94690.0,First Owner,Automatic,2755.0,Diesel,Kolkata,2017.0,8.0,2200000.0
Renault,Kiger RXL,54000.0,First Owner,Manual,999.0,Petrol,New Delhi,2021.0,4.0,495000.0
Skoda,Octavia 2.0 TDI MT Style,96576.0,Second Owner,Manual,1968.0,Diesel,Jaipur,2018.0,7.0,1175000.0
Hyundai,Creta 1.6 SX,87801.0,First Owner,Manual,1591.0,Petrol,Hyderabad,2017.0,8.0,941000.0
Mahindra,XUV500 W7 AT,74962.0,First Owner,Automatic,2179.0,Diesel,Pune,2016.0,9.0,898000.0
Renault,Kiger RXZ AMT,20000.0,First Owner,Automatic,999.0,Petrol,Chandigarh,2022.0,3.0,750000.0
Honda,Jazz 1.2 S i VTEC,160000.0,First Owner,Manual,1199.0,Petrol,Chandigarh,2015.0,10.0,340000.0
Hyundai,Venue S Opt Knight 2023-2025,30000.0,First Owner,Manual,1197.0,Petrol,Jaipur,2023.0,2.0,900000.0
Skoda,Kodiaq 2.0 TDI Style,76751.0,Second Owner,Automatic,1968.0,Diesel,Gurgaon,2018.0,7.0,1716000.0
Honda,Jazz V,21577.0,First Owner,Manual,1199.0,Petrol,Gurgaon,2022.0,3.0,650000.0
Hyundai,i20 1.2 Sportz,31000.0,First Owner,Manual,1197.0,Petrol,Chennai,2011.0,14.0,350000.0
Honda,WR-V VX Diesel,46493.0,First Owner,Manual,1498.0,Diesel,Chennai,2021.0,4.0,774000.0
Mahindra,XUV700 AX7 AT BSVI,23009.0,First Owner,Automatic,1999.0,Petrol,Kolkata,2021.0,4.0,1775000.0
Kia,Seltos HTE Diesel,99000.0,Second Owner,Manual,1493.0,Diesel,Hyderabad,2021.0,4.0,1150000.0
Toyota,Etios V,58600.0,Second Owner,Manual,1496.0,Petrol,New Delhi,2011.0,14.0,210000.0
Skoda,Kushaq 1.0 TSI Ambition,37000.0,First Owner,Manual,999.0,Petrol,Chennai,2022.0,3.0,990000.0
Maruti,Wagon R VXI CNG BSVI,21680.0,First Owner,Manual,998.0,CNG,Chandigarh,2022.0,3.0,526000.0
Honda,City i-VTEC V,27002.0,Second Owner,Manual,1497.0,Petrol,Kolkata,2018.0,7.0,591000.0
Honda,Jazz 1.2 VX i VTEC,77025.0,First Owner,Manual,1199.0,Petrol,Bangalore,2016.0,9.0,461000.0
Maruti,Ciaz 1.4 Delta,100000.0,First Owner,Manual,1373.0,Petrol,Ahmedabad,2017.0,8.0,530000.0
Hyundai,Grand i10 Sportz,45659.0,Second Owner,Manual,1197.0,Petrol,Noida,2015.0,10.0,330000.0
Kia,Seltos HTK G,21000.0,First Owner,Manual,1497.0,Petrol,New Delhi,2022.0,3.0,1060000.0
Kia,Seltos HTX G,34314.0,First Owner,Manual,1497.0,Petrol,Jaipur,2020.0,5.0,1015000.0
Volkswagen,Jetta 1.9 Highline TDI,95105.0,Third Owner,Automatic,1896.0,Diesel,Jaipur,2009.0,16.0,350000.0
Renault,Kiger RXZ,43115.0,First Owner,Manual,999.0,Petrol,Thane,2021.0,4.0,599000.0
Honda,Amaze S i-VTEC,108717.0,First Owner,Manual,1198.0,Petrol,Jaipur,2014.0,11.0,356000.0
Kia,Seltos HTX Diesel,60000.0,First Owner,Manual,1493.0,Diesel,Bangalore,2021.0,4.0,1450000.0
Honda,Jazz 1.2 VX i VTEC,31000.0,First Owner,Manual,1199.0,Petrol,Kolkata,2019.0,6.0,490000.0
Tata,Tiago XZA Plus,61743.0,Second Owner,Automatic,1199.0,Petrol,Chennai,2020.0,5.0,450000.0
Honda,Amaze VX i-VTEC,18410.0,First Owner,Manual,1198.0,Petrol,Ahmedabad,2022.0,3.0,735000.0
Volkswagen,Taigun 1.0 TSI Topline BSVI,28159.0,First Owner,Manual,999.0,Petrol,Bangalore,2021.0,4.0,1345000.0
Honda,Amaze 2nd Gen VX CVT,12000.0,First Owner,Automatic,1199.0,Petrol,New Delhi,2024.0,1.0,885000.0
Kia,Seltos HTK Plus D,113671.0,First Owner,Manual,1493.0,Diesel,Hyderabad,2021.0,4.0,859000.0
Volkswagen,Taigun 1.0 TSI Highline BSVI,19647.0,First Owner,Manual,999.0,Petrol,Mumbai,2023.0,2.0,1050000.0
Honda,Jazz V CVT,40000.0,First Owner,Automatic,1199.0,Petrol,Ahmedabad,2021.0,4.0,725000.0
Volkswagen,Polo IPL II 1.6 Petrol Highline,70000.0,First Owner,Manual,1598.0,Petrol,Noida,2012.0,13.0,250000.0
